file_id,original_filename,primary_domain,rows,columns,populated_cells,sha256_16,groups_participating,canonical_status,fully_covered_by,contributes_unique_records_to,max_unique_records,unique_records_not_covered_elsewhere,conflicts_involving_file,different_entity_partners,decision_reason,archive_eligible,archive_precondition,phase3_action,phase4_action
F037,bis_product_certifications.csv,11_CERTIFICATION_PROCESS,71,9,511,e25696b6333dc8a5,4,KEEP_PENDING_REVIEW,NONE,NONE,0,NONE,0,NONE,Participates in 4 compared pairs with no relationship strong enough to establish coverage. Kept until Phase 3 review.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F038,bis_topic17_hallmarking_centres.csv,20_HALLMARKING_CENTRES,1658,14,23212,f110ffab88f8163f,3,KEEP_DISTINCT_ENTITY,NONE,bis_topic17_hallmarking_centres_cancelled_suspended.csv,1522,bis_topic17_hallmarking_centres_cancelled_suspended.csv,273,BIS_Recognized_Laboratories.xlsx; bis_laboratories.csv,"Checked against BIS_Recognized_Laboratories.xlsx; bis_laboratories.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F039,bis_topic17_hallmarking_centres_cancelled_suspended.csv,20_HALLMARKING_CENTRES,722,17,11551,c903091f9a03d45f,2,KEEP_DISTINCT_ENTITY,NONE,bis_topic17_hallmarking_centres.csv,586,bis_topic17_hallmarking_centres.csv,273,BIS_Recognized_Laboratories.xlsx,"Checked against BIS_Recognized_Laboratories.xlsx and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F040,data__raw__fmcs_all_fmcs_list_raw.csv,22_FMCS,3135,9,28215,167361888a3a034c,6,KEEP_DISTINCT_ENTITY,NONE,NONE,0,NONE,0,output__fmcs_country_coverage.csv; output__topic19_official_documents.csv,"Checked against output__fmcs_country_coverage.csv; output__topic19_official_documents.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F041,output__extraction_log.csv,OTHER_RELEVANT,12,6,72,898b23b8dfb217d6,0,KEEP_AS_CANONICAL_UNIQUE,NONE,NONE,0,NONE,0,NONE,No content link to any other file passed the deep-compare gate: this dataset is unique in the corpus.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F042,output__fmcs_country_coverage.csv,22_FMCS,74,3,222,99e5b1720ccb6b9c,5,KEEP_DISTINCT_ENTITY,NONE,NONE,0,NONE,0,BIS_Scheme_IV_FMCS.xlsx; data__raw__fmcs_all_fmcs_list_raw.csv; output__fmcs_is_coverage.csv; output__topic18_fmcs_manufacturers.csv …(+1),"Checked against BIS_Scheme_IV_FMCS.xlsx; data__raw__fmcs_all_fmcs_list_raw.csv; output__fmcs_is_coverage.csv; output__topic18_fmcs_manufacturers.csv …(+1) and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F043,output__fmcs_is_coverage.csv,22_FMCS,423,3,1269,a40a4b7c4afe3b51,6,KEEP_DISTINCT_ENTITY,NONE,BIS_Scheme_IV_FMCS.xlsx,420,BIS_Scheme_IV_FMCS.xlsx,0,output__fmcs_country_coverage.csv; output__topic19_official_documents.csv,"Checked against output__fmcs_country_coverage.csv; output__topic19_official_documents.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F044,output__source_inventory.csv,OTHER_RELEVANT,46,12,464,627be3d4e0f61775,2,KEEP_PENDING_REVIEW,NONE,NONE,0,NONE,0,NONE,Participates in 2 compared pairs with no relationship strong enough to establish coverage. Kept until Phase 3 review.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F045,output__topic18_fmcs_manufacturers.csv,22_FMCS,3135,17,53187,93950b662fba9fd4,6,KEEP_DISTINCT_ENTITY,NONE,NONE,0,NONE,0,output__fmcs_country_coverage.csv; output__topic19_official_documents.csv,"Checked against output__fmcs_country_coverage.csv; output__topic19_official_documents.csv and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F046,output__topic19_official_documents.csv,22_FMCS,22,17,214,f158416fc5eb11e2,7,KEEP_DISTINCT_ENTITY,NONE,NONE,0,NONE,0,BIS_Scheme_IV_FMCS.xlsx; data__raw__fmcs_all_fmcs_list_raw.csv; output__fmcs_country_coverage.csv; output__fmcs_is_coverage.csv …(+1),"Checked against BIS_Scheme_IV_FMCS.xlsx; data__raw__fmcs_all_fmcs_list_raw.csv; output__fmcs_country_coverage.csv; output__fmcs_is_coverage.csv …(+1) and cleared as a false duplicate: same keys, different entity identity. Both files are required.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F047,output__topic20_provenance.csv,OTHER_RELEVANT,44154,19,564707,e1d1ef797ee80296,2,KEEP_PENDING_REVIEW,NONE,NONE,0,NONE,0,NONE,Participates in 2 compared pairs with no relationship strong enough to establish coverage. Kept until Phase 3 review.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F048,output__unresolved_records.csv,OTHER_RELEVANT,22,6,129,8f6205fb736198fa,0,KEEP_AS_CANONICAL_UNIQUE,NONE,NONE,0,NONE,0,NONE,No content link to any other file passed the deep-compare gate: this dataset is unique in the corpus.,NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
F049,sih26107-project-analysis.pdf,OTHER_RELEVANT,0,0,0,5e9d360b1c37a4a5,0,NOT_TABULAR_KEEP_AS_REFERENCE,NONE,NONE,0,NONE,0,NONE,"Not a tabular dataset, so it takes no part in duplicate analysis. Retained unchanged as a source document.",NO,NOT_ARCHIVABLE,Include as a contributing source in the canonical schema,Load every record; write file_id + source row into provenance for each output row.
